1963	64	1	5.0	37174	713.734375	4610.076525402627
1964	58	1	6.5	38410	816.8103448275862	4997.413601595352
1965	67	1	5.0	50331	938.1641791044776	6104.779230296307
1966	71	1	5.0	54634	963.4507042253521	6443.625995189338
1967	68	1	7.5	51274	965.4705882352941	6177.445623039149
1968	71	1	7.0	45781	832.4507042253521	5401.229955880634
1969	68	1	7.5	50394	993.5147058823529	6080.713518728092
1970	72	1	6.5	47073	894.8472222222222	5527.883233761672
1971	74	1	9.0	55976	1058.337837837838	6492.837390992137
1972	76	1	7.0	51518	984.3421052631579	5916.340924557642
1973	72	1	8.5	51501	1029.763888888889	6066.751172701396
1974	77	1	8.0	50646	990.6233766233767	5794.207539776167
1975	73	1	9.0	46715	986.3013698630137	5501.2231458973765
1976	71	1	11.0	44280	989.0985915492957	5299.050345839762
1977	76	1	7.0	41490	858.8026315789474	4801.305653070173
1978	70	1	10.5	41254	944.3142857142857	4984.348799830059
1979	67	1	10.0	30078	729.1641791044776	3718.7885990853274
1980	71	1	11.0	37354	870.6901408450705	4504.845371317451
1981	71	1	10.0	39223	926.3521126760563	4752.435224825007
1982	62	1	18.0	33896	933.6774193548387	4406.0932434681035
1983	65	1	14.0	32871	874.7692307692307	4204.21240687601
1984	70	1	13.5	38367	960.0	4759.372905871409
1985	74	1	9.5	39556	968.3918918918919	4822.275076557569
1986	69	1	17.0	38126	1026.9565217391305	4845.040375939756
1987	74	1	12.5	43520	1120.972972972973	5404.6809565887215
1988	72	1	12.0	40496	1082.2777777777778	5125.4441033117155
1989	79	1	11.0	50186	1209.3291139240507	6068.672984303751
1990	70	1	17.0	47390	1290.9142857142858	6087.321821957636
1991	75	1	12.0	51178	1286.84	6349.551843587074
1992	76	1	8.5	52253	1282.157894736842	6452.9664599286425
1993	83	1	6.0	53231	1184.8433734939758	6291.770165767472
1994	88	1	8.0	56066	1155.409090909091	6393.192298411085
1995	89	1	6.0	55739	1139.5393258426966	6302.712164653876
1996	90	1	5.5	61104	1218.2777777777778	6837.703059796514
1997	89	1	8.0	61707	1258.2359550561798	6941.247190692948
1998	94	1	9.5	80291	1569.3510638297873	8820.396188944444
1999	108	1	5.0	83906	1421.1666666666667	8580.126821237463
